station_name,latitude,longitude
Wakkanai,45.415,141.67888888888888
Rumoi,43.94611111111111,141.63194444444446
Asahikawa,43.75694444444444,142.37222222222223
Abashiri,44.01777777777777,144.27972222222223
Sapporo,43.06,141.32861111111112
Iwamizawa,43.211666666666666,141.78583333333333
Obihiro,42.92222222222222,143.21194444444444
Kushiro,42.98583333333333,144.3777777777778
Nemuro,43.33055555555555,145.58555555555557
Muroran,42.31166666666666,140.9752777777778
Urakawa,42.1625,142.77694444444447
Esashi,41.86722222222223,140.1238888888889
Hakodate,41.81666666666667,140.75416666666666
Kutchan,42.90111111111111,140.75805555555556
Mombetsu,44.345,143.3552777777778
Hiroo,42.29444444444445,143.31666666666666
Shinjo,38.75694444444444,140.31222222222223
Aomori,40.82166666666667,140.7688888888889
Hachinohe,40.52722222222222,141.52166666666668
Akita,39.7175,140.0991666666667
Morioka,39.69833333333333,141.16611111111112
Miyako,39.64694444444444,141.96583333333334
Sakata,38.90861111111111,139.84333333333333
Yamagata,38.25555555555555,140.34611111111113
Sendai,38.261944444444445,140.89666666666665
Fukushima,37.75944444444445,140.47083333333333
Shirakawa,37.13166666666667,140.21499999999995
Onahama,36.9475,140.90333333333334
Wajima,37.39138888888889,136.89527777777778
Aikawa,38.02916666666667,138.23999999999998
Niigata,37.89361111111111,139.0188888888889
Kanazawa,36.58972222222222,136.63472222222222
Toyama,36.70944444444445,137.2025
Nagano,36.66277777777778,138.1925
Takada,37.10666666666667,138.24666666666664
Utsunomiya,36.54972222222222,139.86833333333334
Fukui,36.05555555555555,136.2225
Takayama,36.15611111111111,137.25333333333333
Matsumoto,36.24666666666667,137.97055555555556
Maebashi,36.405277777777776,139.06055555555557
Kumagaya,36.15,139.38
Mito,36.38111111111111,140.46805555555557
Tsuruga,35.65333333333333,136.06222222222223
Gifu,35.400277777777774,136.7625
Nagoya,35.16777777777777,136.96555555555554
Iida,35.52333333333333,137.8225
Kofu,35.66722222222222,138.5538888888889
Choshi,35.73972222222222,140.85722222222222
Tsu,34.73416666666667,136.51972222222224
Hamamatsu,34.75388888888889,137.71166666666664
Tokyo,35.69166666666666,139.7511111111111
Owase,34.069722222222225,136.19333333333333
Yokohama,35.439722222222215,139.6525
Tateyama,34.98694444444445,139.86527777777778
Oshima,34.74944444444444,139.36305555555555
Miyakejima,34.12388888888889,139.5213888888889
Hachijojima,33.12166666666667,139.77916666666667
Saigo,36.20444444444445,133.3338888888889
Matsue,35.45722222222223,133.06555555555556
Yonago,35.43472222222222,133.3386111111111
Tottori,35.48777777777778,134.23833333333332
Toyooka,35.53583333333333,134.82222222222222
Maizuru,35.45027777777778,135.31805555555556
Hamada,34.89666666666667,132.07055555555556
Kyoto,35.014722222222225,135.73277777777778
Hikone,35.27611111111111,136.24388888888888
Shimonoseki,33.948611111111106,130.9261111111111
Hiroshima,34.39861111111111,132.46277777777777
Okayama,34.68583333333333,133.92527777777778
Kobe,34.69694444444444,135.21277777777777
Osaka,34.68222222222222,135.51916666666668
Sumoto,34.33833333333334,134.905
Wakayama,34.22888888888889,135.16416666666666
Shionomisaki,33.45027777777778,135.75722222222225
Nara,34.693888888888885,135.82777777777778
Izuhara,34.19777777777777,129.29194444444445
Fukuoka,33.58222222222223,130.3763888888889
Saga,33.26638888888889,130.3052777777778
Oita,33.236111111111114,131.61916666666667
Nagasaki,32.73416666666667,129.86805555555557
Kumamoto,32.81361111111111,130.70694444444445
Nobeoka,32.581944444444446,131.65805555555556
Kagoshima,31.555,130.54805555555555
Miyazaki,31.938333333333333,131.41416666666666
Yakushima,30.385555555555555,130.65916666666666
Tanegashima,30.720277777777778,130.98250000000002
Fukue,32.69472222222222,128.82694444444445
Matsuyama,33.84361111111112,132.7775
Takamatsu,34.31805555555556,134.05444444444444
Uwajima,33.22777777777778,132.55305555555557
Kochi,33.56805555555556,133.54944444444445
Tokushima,34.06777777777778,134.57333333333332
Naze,28.379722222222224,129.49555555555554
Yonagunijima,24.466666666666665,123.01055555555556
Iriomotejima,24.42777777777778,123.76555555555557
Ishigakijima,24.336666666666662,124.16444444444446
Miyakojima,24.794444444444448,125.27833333333334
Kumejima,26.33805555555556,126.80388888888888
Naha,26.20722222222222,127.68722222222225
Nago,26.594166666666663,127.96638888888889
