year,temp_c_recon,flower_doy,flower_date
1329,4.1,112,1329-04-22
1330,5.2,108,1330-04-18
1331,4.1,112,1331-04-22
1332,3.2,115,1332-04-24
1342,4.6,110,1342-04-20
1344,6.9,102,1344-04-11
1346,5.4,107,1346-04-17
1347,4.9,109,1347-04-19
1349,4.1,112,1349-04-22
1350,7.2,101,1350-04-11
1351,3.2,115,1351-04-25
1356,2.7,117,1356-04-26
1357,5.4,107,1357-04-17
1358,4.6,110,1358-04-20
1359,6,105,1359-04-15
1360,7.2,101,1360-04-10
1361,5.2,108,1361-04-18
1363,5.4,107,1363-04-17
1364,4.6,110,1364-04-19
1366,4.1,112,1366-04-22
1367,8.3,97,1367-04-07
1368,11.2,88,1368-03-28
1369,9.3,94,1369-04-04
1370,4.9,109,1370-04-19
1372,6.9,102,1372-04-11
1373,4.6,110,1373-04-20
1375,6.6,103,1375-04-13
1376,7.7,99,1376-04-08
1377,6,105,1377-04-15
1378,6.3,104,1378-04-14
1379,6.6,103,1379-04-13
1380,6.9,102,1380-04-11
1381,5.2,108,1381-04-18
1382,6,105,1382-04-15
1383,6.9,102,1383-04-12
1384,8,98,1384-04-07
1385,7.7,99,1385-04-09
1386,6,105,1386-04-15
1387,7.4,100,1387-04-10
1388,7.7,99,1388-04-08
1398,5.7,106,1398-04-16
1401,7.2,101,1401-04-11
1402,6.6,103,1402-04-13
1403,6.3,104,1403-04-14
1406,6.9,102,1406-04-12
1407,7.2,101,1407-04-11
1408,4.3,111,1408-04-20
1409,11.8,86,1409-03-27
1410,6.9,102,1410-04-12
1412,9.6,93,1412-04-02
1413,10.2,91,1413-04-01
1415,6,105,1415-04-15
1416,7.2,101,1416-04-10
1417,4.9,109,1417-04-19
1418,8,98,1418-04-08
1419,7.4,100,1419-04-10
1420,4.1,112,1420-04-21
1421,7.7,99,1421-04-09
1422,4.9,109,1422-04-19
1423,8.6,96,1423-04-06
1424,6.6,103,1424-04-12
1425,8,98,1425-04-08
1426,7.7,99,1426-04-09
1427,6.9,102,1427-04-12
1429,8,98,1429-04-08
1430,5.2,108,1430-04-18
1431,6.9,102,1431-04-12
1432,6.3,104,1432-04-13
1433,8,98,1433-04-08
1434,3.8,113,1434-04-23
1435,8.9,95,1435-04-05
1436,7.2,101,1436-04-10
1437,6.6,103,1437-04-13
1438,7.7,99,1438-04-09
1439,7.2,101,1439-04-11
1440,8,98,1440-04-07
1441,6,105,1441-04-15
1443,5.4,107,1443-04-17
1444,4.9,109,1444-04-18
1446,5.2,108,1446-04-18
1447,4.3,111,1447-04-21
1448,8.6,96,1448-04-05
1449,8.9,95,1449-04-05
1450,7.4,100,1450-04-10
1451,6.6,103,1451-04-13
1452,9.9,92,1452-04-01
1453,5.4,107,1453-04-17
1454,6,105,1454-04-15
1455,8.6,96,1455-04-06
1456,5.7,106,1456-04-15
1457,6,105,1457-04-15
1458,4.1,112,1458-04-22
1459,3.8,113,1459-04-23
1460,4.3,111,1460-04-20
1461,5.7,106,1461-04-16
1462,5.7,106,1462-04-16
1463,7.2,101,1463-04-11
1464,6.3,104,1464-04-13
1465,8,98,1465-04-08
1466,6,105,1466-04-15
1467,7.2,101,1467-04-11
1468,7.2,101,1468-04-10
